Workstation_ID,RMS_Current(A),RMS_Voltage(V),PF,Power(W),Power(KW)
9,2.991,241.143,0.484,359.449,0.359
9,3.001,241.251,0.485,360.979,0.361
9,3.035,241.393,0.484,364.162,0.364
9,3.017,241.608,0.482,361.523,0.362
9,3.01,241.689,0.483,361.136,0.361
9,3.005,241.755,0.483,360.422,0.36
9,2.999,241.793,0.482,359.126,0.359
9,3.012,241.8,0.485,362.71,0.363
9,3.032,241.76,0.482,363.887,0.364
9,3.034,241.561,0.484,364.238,0.364
9,3.055,241.535,0.485,367.63,0.368
9,3.061,241.53,0.485,368.438,0.368
9,3.068,241.516,0.484,368.215,0.368
9,3.086,241.464,0.485,370.68,0.371
9,3.067,241.391,0.484,369.133,0.369
9,3.062,241.349,0.485,368.749,0.369
9,3.055,241.306,0.485,367.788,0.368
9,3.048,241.226,0.485,367.81,0.368
9,3.051,241.138,0.486,368.761,0.369
9,3.059,241.085,0.486,369.234,0.369
9,3.053,241.089,0.486,367.986,0.368
9,3.053,241.099,0.486,368.584,0.369
9,3.049,241.138,0.486,367.831,0.368
9,3.053,241.182,0.487,367.696,0.368
9,3.072,241.247,0.487,370.467,0.37
9,3.058,241.302,0.484,367.737,0.368
9,3.058,241.296,0.486,368.239,0.368
9,3.059,241.332,0.485,367.441,0.367
9,3.054,241.295,0.485,367.113,0.367
9,3.071,241.26,0.487,369.515,0.37
9,3.082,241.224,0.483,369.231,0.369
9,3.07,241.144,0.484,368.54,0.369
9,3.069,241.107,0.484,368.811,0.369
9,3.069,241.049,0.483,368.256,0.368
9,3.064,240.995,0.484,367.448,0.367
9,3.073,240.924,0.485,370.192,0.37
9,3.062,240.957,0.484,368.795,0.369
9,3.061,240.975,0.485,367.807,0.368
9,3.055,240.98,0.484,367.229,0.367
9,3.047,241.009,0.485,367.719,0.368
9,3.052,241.038,0.486,368.343,0.368
9,3.062,241.064,0.485,368.37,0.368
9,3.049,241.073,0.487,367.743,0.368
9,3.045,241.097,0.486,367.203,0.367
9,3.038,241.144,0.487,366.462,0.366
9,3.036,241.244,0.49,368.001,0.368
9,3.093,241.306,0.489,374.708,0.375
9,3.101,241.39,0.487,374.476,0.374
9,3.108,241.438,0.488,375.246,0.375
9,3.109,241.419,0.485,374.384,0.374
9,3.103,241.376,0.486,374.205,0.374
9,3.113,241.3,0.488,375.974,0.376
9,3.125,241.179,0.486,376.989,0.377
9,3.087,241.103,0.485,372.161,0.372
9,3.062,241.025,0.486,369.296,0.369
9,3.049,240.987,0.486,367.873,0.368
9,3.038,240.963,0.487,366.847,0.367
9,3.056,240.941,0.488,370.508,0.371
9,3.052,240.974,0.485,367.753,0.368
9,3.041,240.966,0.487,367.934,0.368
9,3.04,241.017,0.487,368.008,0.368
9,3.041,241.045,0.487,367.595,0.368
9,3.049,241.029,0.488,369.158,0.369
9,3.058,241.032,0.485,369.223,0.369
9,3.055,241.061,0.488,370.095,0.37
9,3.057,241.069,0.485,368.028,0.368
9,3.043,241.084,0.485,367.07,0.367
9,3.036,241.08,0.487,367.211,0.367
9,3.061,241.086,0.487,370.269,0.37
9,3.05,241.058,0.487,368.272,0.368
9,3.047,241.085,0.488,369.013,0.369
9,3.05,241.103,0.486,368.45,0.368
9,3.043,241.066,0.486,366.799,0.367
9,3.05,241.072,0.487,368.347,0.368
9,3.06,241.064,0.486,370.173,0.37
9,3.05,241.039,0.486,368.482,0.368
9,3.051,241.036,0.485,367.367,0.367
9,3.04,241.011,0.486,366.91,0.367
9,3.029,241.032,0.487,366.764,0.367
9,3.056,240.993,0.488,369.088,0.369
9,3.051,240.964,0.486,368.37,0.368
9,3.042,240.975,0.487,367.744,0.368
9,3.037,240.953,0.486,366.51,0.367
9,3.036,240.964,0.486,366.178,0.366
9,3.036,240.972,0.488,368.155,0.368
9,3.056,240.961,0.486,369.367,0.369
9,3.055,240.986,0.488,369.35,0.369
9,3.053,241.098,0.486,368.588,0.369
9,3.047,241.182,0.485,367.41,0.367
9,3.05,241.252,0.487,368.66,0.369
9,3.072,241.247,0.486,370.419,0.37
9,3.056,241.259,0.485,368.714,0.369
9,3.049,241.277,0.484,367.573,0.368
9,3.051,241.399,0.485,367.611,0.368
9,3.047,241.464,0.484,366.629,0.367
9,3.051,241.512,0.485,368.277,0.368
9,3.076,241.584,0.485,370.837,0.371
9,3.064,241.611,0.485,368.643,0.369
9,3.053,241.608,0.484,367.433,0.367
9,3.047,241.579,0.485,367.186,0.367
9,3.044,241.543,0.486,367.432,0.367
9,3.063,241.492,0.486,369.916,0.37
9,3.06,241.438,0.486,369.263,0.369
9,3.053,241.405,0.485,368.172,0.368
9,3.043,241.363,0.484,366.166,0.366
9,3.039,241.394,0.485,366.037,0.366
9,3.05,241.392,0.485,367.481,0.367
9,3.07,241.394,0.483,369.091,0.369
9,3.054,241.397,0.485,367.789,0.368
9,3.048,241.392,0.484,367.083,0.367
9,3.041,241.399,0.483,365.658,0.366
9,3.037,241.423,0.484,365.829,0.366
9,3.06,241.429,0.486,369.564,0.37
9,3.055,241.409,0.484,367.983,0.368
9,3.046,241.389,0.485,367.031,0.367
9,3.04,241.412,0.483,365.636,0.366
9,3.024,241.397,0.483,363.645,0.364
9,3.016,241.432,0.486,364.118,0.364
9,3.022,241.453,0.484,364.02,0.364
9,2.991,241.483,0.483,359.872,0.36
9,2.974,241.547,0.484,358.346,0.358
9,2.97,241.601,0.484,357.278,0.357
9,2.964,241.644,0.486,357.706,0.358
9,2.99,241.727,0.486,360.819,0.361
9,2.982,241.78,0.484,359.288,0.359
9,2.981,241.847,0.484,358.107,0.358
9,2.969,241.906,0.483,356.314,0.356
9,2.967,241.92,0.483,356.272,0.356
9,2.982,241.903,0.485,358.985,0.359
9,2.991,241.847,0.483,359.361,0.359
9,2.972,241.774,0.483,356.827,0.357
9,2.976,241.639,0.483,357.48,0.357
9,2.967,241.524,0.483,356.306,0.356
9,2.964,241.424,0.484,356.442,0.356
9,2.993,241.376,0.485,360.994,0.361
9,2.987,241.477,0.483,358.632,0.359
9,2.977,241.6,0.484,357.838,0.358
9,2.972,241.74,0.483,357.18,0.357
9,2.966,241.881,0.483,355.934,0.356
9,2.973,241.903,0.485,358.292,0.358
9,2.995,241.739,0.484,360.193,0.36
9,2.98,241.582,0.482,357.307,0.357
9,2.975,241.399,0.482,356.429,0.356
9,2.966,241.313,0.484,356.492,0.356
9,2.959,241.349,0.484,355.652,0.356
9,2.979,241.42,0.486,359.285,0.359
9,2.976,241.51,0.484,358.106,0.358
9,2.975,241.566,0.483,356.867,0.357
9,2.972,241.541,0.483,356.804,0.357
9,2.972,241.507,0.482,356.334,0.356
9,2.979,241.438,0.484,358.144,0.358
9,2.994,241.424,0.482,358.844,0.359
9,2.966,241.5,0.483,355.618,0.356
9,2.976,241.626,0.483,357.158,0.357
9,2.973,241.721,0.483,356.174,0.356
9,2.97,241.732,0.484,356.388,0.356
9,2.989,241.646,0.485,359.836,0.36
9,2.978,241.5,0.483,357.465,0.357
9,2.967,241.317,0.484,356.051,0.356
9,2.964,241.12,0.485,356.337,0.356
9,2.96,240.963,0.484,355.727,0.356
9,2.963,240.841,0.486,357.514,0.358
9,2.981,240.805,0.486,359.625,0.36
9,3.1,241.072,0.491,375.72,0.376
9,3.1,241.072,0.491,375.72,0.376
9,3.1,241.072,0.491,375.72,0.376
9,3.1,241.072,0.491,375.72,0.376
9,3.1,241.072,0.491,375.72,0.377
9,3.1,241.072,0.491,375.72,0.377
9,3.1,241.072,0.491,375.72,0.377
9,3.1,241.072,0.491,375.72,0.377
9,3.1,241.072,0.491,375.72,0.379
9,3.1,241.072,0.491,375.72,0.379
9,3.1,241.072,0.491,375.72,0.379
9,3.1,241.072,0.491,375.72,0.379
9,3.111,241.071,0.488,376.996,0.377
9,3.111,241.071,0.488,376.996,0.377
9,3.087,240.987,0.489,373.723,0.374
9,3.087,240.987,0.489,373.723,0.374
9,3.071,240.887,0.489,372.382,0.372
9,3.071,240.887,0.489,372.382,0.372
9,3.074,240.835,0.491,373.253,0.373
9,3.074,240.835,0.491,373.253,0.373
9,3.07,240.746,0.491,373.748,0.374
9,3.07,240.746,0.491,373.748,0.374
9,3.093,240.743,0.492,377.062,0.377
9,3.093,240.743,0.492,377.062,0.377
9,3.085,240.829,0.489,374.747,0.375
9,3.085,240.829,0.489,374.747,0.375
9,3.067,240.915,0.489,372.663,0.373
9,3.067,240.915,0.489,372.663,0.373
9,3.066,241.025,0.49,372.675,0.373
9,3.066,241.025,0.49,372.675,0.373
9,3.074,241.068,0.489,372.368,0.372
9,3.074,241.068,0.489,372.368,0.372
9,3.094,241.094,0.491,375.63,0.376
9,3.094,241.094,0.491,375.63,0.376
9,3.102,241.149,0.489,376.267,0.376
9,3.102,241.149,0.489,376.267,0.376
9,3.084,241.117,0.49,373.978,0.374
9,3.084,241.117,0.49,373.978,0.374
9,3.082,241.113,0.488,372.174,0.372
9,3.082,241.113,0.488,372.174,0.372
9,3.081,241.065,0.489,372.995,0.373
9,3.081,241.065,0.489,372.995,0.373
9,3.075,240.998,0.489,372.305,0.372
9,3.075,240.998,0.489,372.305,0.372
9,3.103,240.974,0.491,376.713,0.377
9,3.103,240.974,0.491,376.713,0.377
9,3.089,240.924,0.489,373.911,0.374
9,3.089,240.924,0.489,373.911,0.374
9,3.072,240.834,0.488,371.766,0.372
9,3.072,240.834,0.488,371.766,0.372
9,3.073,240.817,0.49,373.25,0.373
9,3.073,240.817,0.49,373.25,0.373
9,3.07,240.808,0.489,372.915,0.373
9,3.07,240.808,0.489,372.915,0.373
9,3.084,240.894,0.492,375.584,0.376
9,3.084,240.894,0.492,375.584,0.376
9,3.104,241.024,0.489,376.387,0.376
9,3.104,241.024,0.489,376.387,0.376
9,3.082,241.073,0.488,373.161,0.373
9,3.082,241.073,0.488,373.161,0.373
9,3.069,241.157,0.489,372.013,0.372
9,3.069,241.157,0.489,372.013,0.372
9,3.068,241.179,0.491,373.102,0.373
9,3.068,241.179,0.491,373.102,0.373
9,3.072,241.175,0.49,372.855,0.373
9,3.072,241.175,0.49,372.855,0.373
9,3.103,241.209,0.491,376.696,0.377
9,3.103,241.209,0.491,376.696,0.377
9,3.089,241.251,0.488,373.731,0.374
9,3.089,241.251,0.488,373.731,0.374
9,3.072,241.195,0.489,372.246,0.372
9,3.072,241.195,0.489,372.246,0.372
9,3.075,241.158,0.489,372.442,0.372
9,3.075,241.158,0.489,372.442,0.372
9,3.075,241.054,0.488,372.411,0.372
9,3.075,241.054,0.488,372.411,0.372
9,3.092,240.964,0.491,375.648,0.376
9,3.092,240.964,0.491,375.648,0.376
9,3.113,240.863,0.489,377.105,0.377
9,3.113,240.863,0.489,377.105,0.377
9,3.09,240.779,0.488,374.321,0.374
9,3.09,240.779,0.488,374.321,0.374
9,3.078,240.702,0.49,373.431,0.373
9,3.078,240.702,0.49,373.431,0.373
9,3.075,240.69,0.491,373.821,0.374
9,3.075,240.69,0.491,373.821,0.374
9,3.073,240.797,0.491,373.842,0.374
9,3.073,240.797,0.491,373.842,0.374
9,3.098,240.884,0.491,377.481,0.377
9,3.098,240.884,0.491,377.481,0.377
9,3.083,240.996,0.489,374.669,0.375
9,3.083,240.996,0.489,374.669,0.375
9,3.063,241.122,0.489,372.077,0.372
9,3.063,241.122,0.489,372.077,0.372
9,3.069,241.214,0.491,373.128,0.373
9,3.069,241.214,0.491,373.128,0.373
9,3.077,241.256,0.49,373.385,0.373
9,3.077,241.256,0.49,373.385,0.373
9,3.081,241.252,0.491,374.356,0.374
9,3.081,241.252,0.491,374.356,0.374
9,3.094,241.168,0.49,375.884,0.376
9,3.094,241.168,0.49,375.884,0.376
9,3.068,241.046,0.489,372.151,0.372
9,3.068,241.046,0.489,372.151,0.372
9,3.062,240.918,0.49,371.738,0.372
9,3.062,240.918,0.49,371.738,0.372
9,3.061,240.794,0.49,371.679,0.372
9,3.061,240.794,0.49,371.679,0.372
9,3.063,240.718,0.49,372.542,0.373
9,3.063,240.718,0.49,372.542,0.373
9,3.087,240.804,0.493,377.295,0.377
9,3.087,240.804,0.493,377.295,0.377
9,3.073,240.905,0.49,374.15,0.374
9,3.073,240.905,0.49,374.15,0.374
9,3.063,241.032,0.49,372.245,0.372
9,3.063,241.032,0.49,372.245,0.372
9,3.057,241.176,0.491,372.33,0.372
9,3.057,241.176,0.491,372.33,0.372
9,3.058,241.163,0.491,372.192,0.372
9,3.058,241.163,0.491,372.192,0.372
9,3.075,241.101,0.492,374.422,0.374
9,3.075,241.101,0.492,374.422,0.374
9,3.09,240.939,0.491,376.049,0.376
9,3.09,240.939,0.491,376.049,0.376
9,3.063,240.771,0.489,371.886,0.372
9,3.063,240.771,0.489,371.886,0.372
9,3.06,240.712,0.49,372.295,0.372
9,3.06,240.712,0.49,372.295,0.372
9,3.068,240.729,0.491,372.524,0.373
9,3.068,240.729,0.491,372.524,0.373
9,3.074,240.815,0.491,373.2,0.373
9,3.074,240.815,0.491,373.2,0.373
9,3.098,240.989,0.493,377.26,0.377
9,3.098,240.989,0.493,377.26,0.377
9,3.087,241.054,0.489,374.135,0.374
9,3.087,241.054,0.489,374.135,0.374
9,3.073,240.985,0.488,371.969,0.372
9,3.073,240.985,0.488,371.969,0.372
9,3.067,240.823,0.489,371.635,0.372
9,3.067,240.823,0.489,371.635,0.372
9,3.072,240.696,0.489,372.351,0.372
9,3.072,240.696,0.489,372.351,0.372
9,3.081,240.686,0.491,373.933,0.374
9,3.081,240.686,0.491,373.933,0.374
9,3.097,240.798,0.49,375.71,0.376
9,3.097,240.798,0.49,375.71,0.376
9,3.075,240.956,0.49,373.501,0.374
9,3.075,240.956,0.49,373.501,0.374
9,3.068,241,0.491,372.401,0.372
9,3.068,241,0.491,372.401,0.372
9,3.065,240.887,0.49,371.667,0.372
9,3.065,240.887,0.49,371.667,0.372
9,3.066,240.775,0.49,372.364,0.372
9,3.066,240.775,0.49,372.364,0.372
9,3.084,240.73,0.492,375.802,0.376
9,3.084,240.73,0.492,375.802,0.376
9,3.084,240.863,0.49,374.674,0.375
9,3.084,240.863,0.49,374.674,0.375
9,3.074,241.087,0.491,373.61,0.374
9,3.074,241.087,0.491,373.61,0.374
9,3.069,241.25,0.489,372.446,0.372
9,3.069,241.25,0.489,372.446,0.372
9,3.068,241.284,0.489,372.24,0.372
9,3.068,241.284,0.489,372.24,0.372
9,3.076,241.147,0.49,373.195,0.373
9,3.076,241.147,0.49,373.195,0.373
9,3.088,240.996,0.489,374.41,0.374
9,3.088,240.996,0.489,374.41,0.374
9,3.065,240.918,0.489,371.97,0.372
9,3.065,240.918,0.489,371.97,0.372
9,3.061,240.853,0.49,372.086,0.372
9,3.061,240.853,0.49,372.086,0.372
9,3.064,240.881,0.489,371.711,0.372
9,3.064,240.881,0.489,371.711,0.372
9,3.051,240.952,0.488,370.304,0.37
9,3.051,240.952,0.488,370.304,0.37
9,3.038,241.037,0.49,369.402,0.369
9,3.038,241.037,0.49,369.402,0.369
9,3.034,241.17,0.488,367.633,0.368
9,3.034,241.17,0.488,367.633,0.368
9,3.013,241.283,0.487,364.019,0.364
9,3.013,241.283,0.487,364.019,0.364
