WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,Load
10,237.645,2.223,245.378,24.538,4
10,237.673,2.223,245.242,24.524,4
10,237.668,2.223,245.123,24.512,4
10,237.616,2.225,245.231,24.523,4
10,237.544,2.228,245.113,24.511,4
10,237.484,2.228,245.007,24.501,4
10,237.414,2.228,244.931,24.493,4
10,237.358,2.228,244.889,24.489,4
10,237.335,2.229,244.856,24.486,4
10,237.335,2.229,245.014,24.501,4
10,237.345,2.229,245.153,24.515,4
10,237.34,2.227,245.07,24.507,4
10,237.328,2.227,245.003,24.5,4
10,237.329,2.228,244.937,24.494,4
10,237.318,2.228,245.09,24.509,4
10,237.306,2.228,245.019,24.502,4
10,237.298,2.226,244.961,24.496,4
10,237.339,2.227,244.914,24.491,4
10,237.38,2.228,244.855,24.485,4
10,237.43,2.228,245.024,24.502,4
10,237.478,2.228,244.954,24.495,4
10,237.498,2.227,244.888,24.489,4
10,237.508,2.225,244.638,24.464,4
10,237.515,2.223,244.641,24.464,4
10,237.492,2.224,244.632,24.463,4
10,237.453,2.224,244.626,24.463,4
10,237.398,2.223,244.62,24.462,4
10,237.329,2.222,244.616,24.462,4
10,237.256,2.22,244.416,24.442,4
10,237.189,2.219,244.46,24.446,4
10,237.139,2.22,244.506,24.451,4
10,237.105,2.22,244.543,24.454,4
10,237.103,2.219,244.368,24.437,4
10,237.134,2.218,244.41,24.441,4
10,237.178,2.216,244.249,24.425,4
10,237.217,2.214,244.313,24.431,4
10,237.246,2.213,244.366,24.437,4
10,237.256,2.212,244.408,24.441,4
10,237.261,2.211,244.453,24.445,4
10,237.248,2.21,244.479,24.448,4
10,237.223,2.21,244.501,24.45,4
10,237.191,2.211,244.519,24.452,4
10,237.15,2.213,244.739,24.474,4
10,237.125,2.213,244.713,24.471,4
10,237.109,2.213,244.691,24.469,4
10,237.106,2.215,244.9,24.49,4
10,237.105,2.216,244.864,24.486,4
10,237.115,2.216,245.031,24.503,4
10,237.14,2.217,244.96,24.496,4
10,237.187,2.216,245.099,24.51,4
10,237.237,2.216,245.015,24.502,4
10,237.289,2.216,244.958,24.496,4
10,237.334,2.216,244.902,24.49,4
9,241.014,0.492,4.407,0.441,0
9,240.795,0.493,4.38,0.438,0
9,240.991,0.492,4.361,0.436,0
9,241.025,0.493,4.72,0.472,0
9,240.751,0.493,5.197,0.52,0
9,241.183,0.492,4.32,0.432,0
9,241.242,0.492,4.325,0.432,0
9,241.287,0.493,4.328,0.433,0
9,241.306,0.493,4.329,0.433,0
